Prefix, Date, Type, Value, Status 
rasp1, Mon Oct 20 20:59:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 21:00:40 2014, humidity, 64.50, 0 
rasp1, Mon Oct 20 21:00:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 21:01:40 2014, humidity, 63.60, 0 
rasp1, Mon Oct 20 21:01:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 21:02:40 2014, humidity, 60.10, 0 
rasp1, Mon Oct 20 21:02:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:03:40 2014, humidity, 60.40, 0 
rasp1, Mon Oct 20 21:03:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:04:40 2014, humidity, 59.90, 0 
rasp1, Mon Oct 20 21:04:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:05:40 2014, humidity, 59.30, 0 
rasp1, Mon Oct 20 21:05:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:06:40 2014, humidity, 60.70, 0 
rasp1, Mon Oct 20 21:06:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:07:40 2014, humidity, 60.00, 0 
rasp1, Mon Oct 20 21:07:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:08:40 2014, humidity, 58.20, 0 
rasp1, Mon Oct 20 21:08:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:09:40 2014, humidity, 59.40, 0 
rasp1, Mon Oct 20 21:09:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:10:40 2014, humidity, 58.50, 0 
rasp1, Mon Oct 20 21:10:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:11:40 2014, humidity, 57.30, 0 
rasp1, Mon Oct 20 21:11:40 2014, temperature, 35.80, 0 
rasp1, Mon Oct 20 21:12:40 2014, humidity, 55.60, 0 
rasp1, Mon Oct 20 21:12:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 21:13:40 2014, humidity, 53.00, 0 
rasp1, Mon Oct 20 21:13:40 2014, temperature, 35.70, 0 
rasp1, Mon Oct 20 21:14:40 2014, humidity, 53.30, 0 
rasp1, Mon Oct 20 21:14:40 2014, temperature, 35.60, 0 
rasp1, Mon Oct 20 21:15:40 2014, humidity, 53.80, 0 
rasp1, Mon Oct 20 21:15:40 2014, temperature, 35.60, 0 
rasp1, Mon Oct 20 21:16:40 2014, humidity, 56.00, 0 
rasp1, Mon Oct 20 21:16:40 2014, temperature, 35.60, 0 
rasp1, Mon Oct 20 21:17:40 2014, humidity, 55.90, 0 
rasp1, Mon Oct 20 21:17:40 2014, temperature, 35.50, 0 
rasp1, Mon Oct 20 21:18:40 2014, humidity, 57.30, 0 
rasp1, Mon Oct 20 21:18:40 2014, temperature, 35.50, 0 
rasp1, Mon Oct 20 21:19:40 2014, humidity, 57.50, 0 
rasp1, Mon Oct 20 21:19:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:20:40 2014, humidity, 58.40, 0 
rasp1, Mon Oct 20 21:20:40 2014, temperature, 35.50, 0 
rasp1, Mon Oct 20 21:21:40 2014, humidity, 59.90, 0 
rasp1, Mon Oct 20 21:21:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:22:40 2014, humidity, 59.70, 0 
rasp1, Mon Oct 20 21:22:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:23:40 2014, humidity, 57.10, 0 
rasp1, Mon Oct 20 21:23:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:24:40 2014, humidity, 58.60, 0 
rasp1, Mon Oct 20 21:24:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:25:40 2014, humidity, 58.20, 0 
