Prefix	Date	Type	Value	Status	nodeIP
rasp1	Tue Aug 26 14:29:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:30:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:31:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:32:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:33:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:34:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:35:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:36:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:37:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:38:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:39:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:40:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:41:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:42:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:43:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:44:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:45:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:46:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:47:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:48:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:49:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:50:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:51:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:52:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:53:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:54:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:55:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:56:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:57:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:58:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 14:59:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:00:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:01:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:02:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:03:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:04:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:05:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:06:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 15:07:18 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
